Year,Month,GD4,GD10
2015,1,0.0,0.0
2015,2,0.0,0.0
2015,3,79.35555272403352,6.4392265972223
2015,4,175.70726553729799,43.0094782867286
2015,5,348.5803216666668,171.52311715277793
2015,6,428.18832833333335,248.18832833333343
2015,7,462.7411798527351,276.741179852735
2015,8,30.76685625,18.76685625
2015,9,0.0,0.0
2015,10,85.69099761338373,17.3084810150504
2015,11,137.36554493368033,26.0196521874998
2015,12,128.7252360826388,24.783202187499903
2016,1,4.749837708333341,0.0
2016,2,34.69653740312501,0.0
2016,3,137.7629057291667,30.402633541666702
2016,4,196.88017255411236,71.04272345191251
2016,5,260.02885742611545,100.6287854851432
2016,6,430.3528493749999,250.35284937499986
2016,7,498.1111538194442,312.11115381944416
2016,8,493.23429158236627,307.23429158236627
2016,9,411.0561058714432,231.51586976033212
2016,10,274.38810681614603,103.9032210869794
2016,11,122.26633696145493,27.66482992003
2016,12,21.890211090277752,0.27947208333329954
2017,1,69.18053699999999,0.4109882986111
2017,2,28.45715119516566,1.7423735763889
2017,3,76.80628042834519,16.4797347428679
2017,4,249.0065330674719,95.96957081781919
2017,5,296.39833990798627,128.5064849652779
2017,6,379.4464487865498,199.44644878654978
2017,7,475.48432263598517,289.4843226359852
2017,8,420.37438005997484,234.37438005997484
2017,9,327.4385763675634,149.0994994925634
2017,10,253.49498890072906,112.8609077083332
2017,11,74.91943673332597,14.3934940624999
2017,12,28.01952701388891,0.0
2018,1,23.40061951388883,0.5015488194444
2018,2,86.42127992013891,20.3967654166667
2018,3,37.08679607083339,2.780761805555599
2018,4,110.21471771049869,20.915209078450104
2018,5,399.996337638889,213.99633763888903
2018,6,433.7976996886122,253.79769968861223
2018,7,468.24632915498853,282.2463291549885
2018,8,445.973809345265,259.973809345265
2018,9,429.51022823174304,249.510228231743
2018,10,210.35649749057126,89.9890207986111
2018,11,37.71485691726308,3.0360136458333002
2018,12,29.248845926041668,0.0
2019,1,15.92137465277779,0.0
2019,2,49.309729333940965,2.8250480902778
2019,3,53.12472341319444,2.123947847222201
2019,4,213.08582207986115,73.4141257291667
2019,5,367.48742950211965,189.2883181943337
2019,6,374.5532432638889,194.5532432638888
2019,7,473.626435708933,287.626435708933
2019,8,463.7586517349014,277.75865173490143
2019,9,458.36079826388914,278.3607982638892
2019,10,269.53040268164904,99.5529163622046
2019,11,31.433631612115835,0.0
2019,12,59.216097355555576,3.511366076388901
2020,1,34.610254479270864,1.8911087152778006
2020,2,30.2474547290205,0.02553277777779961
2020,3,113.94270581706525,24.5768724652779
2020,4,111.89478854873961,18.1229684027778
2020,5,238.4433160071876,103.73026343750011
2020,6,378.3872508343012,198.38725083430117
2020,7,499.06957461570767,313.0695746157078
2020,8,445.44371109417364,259.44371109417364
2020,9,325.652143887074,151.1191965954073
2020,10,235.63184707416525,84.25980114934012
2020,11,122.1781930475029,24.9456346180555
2020,12,13.368025347222229,0.0
2021,1,13.97690945486111,0.0
2021,2,15.88468878888891,1.2821509027778006
2021,3,107.3731683982953,8.909658415004001
2021,4,152.9051284433277,42.5349684722224
2021,5,255.93846597942112,101.70717161645902
2021,6,398.76857481510734,218.76857481510743
2021,7,453.4561291761035,267.4561291761035
2021,8,463.85295519350524,277.8529551935052
2021,9,338.17997060406987,161.1961774999999
2021,10,241.63708929089765,92.1592090245189
2021,11,49.06246343782414,9.228595590277697
2021,12,104.0842976344686,3.9434195868053994
2022,1,14.145493715277778,3.4493562499999992
2022,2,23.359505255208333,0.0
2022,3,106.46557177281753,16.7794078144842
2022,4,149.24057076440988,38.05062444444461
2022,5,339.0769980555558,157.03013767361145
2022,6,423.88273910854514,243.88273910854508
2022,7,482.65275416666697,296.65275416666697
2022,8,0.0,0.0
2022,9,0.0,0.0
2022,10,0.0,0.0
2022,11,0.0,0.0
2022,12,0.0,0.0
